TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Running breadth-first search Model-Checking with fp 41 and seed -598648575451411514 with 128 workers on 128 cores with 406240MB heap and 64MB offheap memory [pid: 100234] (Linux 7.0.0-1004-aws amd64, Ubuntu 25.0.3-ea x86_64, MSBDiskFPSet, DiskStateQueue).
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega_MC.tla
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega.tla
Parsing file /tmp/FiniteSets.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/Integers.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/Naturals.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module Integers
Semantic processing of module TLC
Semantic processing of module Bodega
Semantic processing of module Bodega_MC
Starting... (2026-05-12 06:17:01)
Computing initial states...
Finished computing initial states: 1 distinct state generated at 2026-05-12 06:17:06.
Progress(12) at 2026-05-12 06:17:09: 81,623 states generated (81,623 s/min), 35,648 distinct states found (35,648 ds/min), 23,808 states left on queue.
Progress(16) at 2026-05-12 06:18:09: 6,589,507 states generated (6,507,884 s/min), 2,532,106 distinct states found (2,496,458 ds/min), 1,353,025 states left on queue.
Progress(17) at 2026-05-12 06:19:09: 14,291,500 states generated (7,701,993 s/min), 5,318,559 distinct states found (2,786,453 ds/min), 2,692,999 states left on queue.
Progress(18) at 2026-05-12 06:20:09: 22,248,216 states generated (7,956,716 s/min), 8,105,982 distinct states found (2,787,423 ds/min), 3,970,088 states left on queue.
Progress(19) at 2026-05-12 06:21:09: 30,323,018 states generated (8,074,802 s/min), 10,946,554 distinct states found (2,840,572 ds/min), 5,174,991 states left on queue.
Progress(19) at 2026-05-12 06:22:09: 38,640,533 states generated (8,317,515 s/min), 13,758,157 distinct states found (2,811,603 ds/min), 6,372,711 states left on queue.
Progress(19) at 2026-05-12 06:23:09: 46,759,979 states generated (8,119,446 s/min), 16,576,031 distinct states found (2,817,874 ds/min), 7,507,802 states left on queue.
Progress(20) at 2026-05-12 06:24:09: 55,004,705 states generated (8,244,726 s/min), 19,390,386 distinct states found (2,814,355 ds/min), 8,593,269 states left on queue.
Progress(20) at 2026-05-12 06:25:09: 63,562,047 states generated (8,557,342 s/min), 22,192,249 distinct states found (2,801,863 ds/min), 9,680,110 states left on queue.
Progress(20) at 2026-05-12 06:26:09: 71,869,842 states generated (8,307,795 s/min), 24,991,614 distinct states found (2,799,365 ds/min), 10,752,404 states left on queue.
Progress(20) at 2026-05-12 06:27:09: 80,025,114 states generated (8,155,272 s/min), 27,815,487 distinct states found (2,823,873 ds/min), 11,777,198 states left on queue.
Progress(20) at 2026-05-12 06:28:09: 88,398,909 states generated (8,373,795 s/min), 30,595,217 distinct states found (2,779,730 ds/min), 12,797,763 states left on queue.
Progress(21) at 2026-05-12 06:29:09: 96,646,836 states generated (8,247,927 s/min), 33,402,641 distinct states found (2,807,424 ds/min), 13,750,485 states left on queue.
Progress(21) at 2026-05-12 06:30:09: 105,235,821 states generated (8,588,985 s/min), 36,187,897 distinct states found (2,785,256 ds/min), 14,744,533 states left on queue.
Progress(21) at 2026-05-12 06:31:09: 113,755,338 states generated (8,519,517 s/min), 38,977,908 distinct states found (2,790,011 ds/min), 15,742,801 states left on queue.
